Overall,value,room,location,cleanliness,checkin,service,business,review
0,0,0,2,1,0,1,-1,"i be a repeat nh customer , until i stay here ... i book what i thought be a great rate at the nh hotel corporate website .the rate be to include breakfast , two welcome cocktail , and a bottle of tequila .the tequila never happen , and i have to argue with the frequently rude reception staff to get the welcome cocktail .this be what i call ` fraud ' and i would warn prospective guest to triple-check everything with the property management prior to check in .base on my experience , it be obvious that the hotel be not compliant with the nh reservation network.additionally , we reservation be for a queen-sized bed .but , after check in and get a single bed , i be tell that ` standard room ' have ` standard ' bed .i insist on a bigger bed , and be put into a different room on a nicer floor , though the bed be the exact same size .i then insist on a room with two bed , and be accommodate only when i threaten to cancel the 2nd-6th night of we stay .management be nowhere to be see , and the busy meeting/conference room on 1st and 2nd floor make use the elevator a miserable experience during the day .get on the elevator in the lobby , stop at floor 1 , and 15 + people cram on , to go the 2nd floor .they get off , and another 15 cram on , to go to the first floor , even though the elevator be go up , and so on.the bed be like rock ; i do not understand the concept of hard-as-rock bed .why invest in bed at all , if they be as hard as the floor?the room be stylish , though the appointment be somewhat date , and the bathroom tiny .the floor get soak each time the shower be use , and housekeeping be stingy with towel , even though i request a few extra due to the shower problem .the shower head be old , and the water pressure be ridiculously strong , waste hundred of gallon of water in this city where clean water be scarce .there be no clock in the room , nor on the t.v. the wakeup call one morning never happen .the lock box/safe be tiny.apparently room on the upper floor of the hotel be udpated and cost more .we be originally put onto the 5th floor , which i would characterize as ` stanky ' due to the ugly , old , and stain carpeting in the hallway and the room .when we be move to the 6th floor , the room be much nicer just due to the hardwood floors.breakfast be the best part of the stay .the restaurant be clean and well-appointed .there be little thing like have skim milk on day 1 , but not on any other day , that give I doubt about the quality of the management .one other example for this point : it be unacceptable to wait 10 minute for a cup of coffee when there be roughly the same number of staff on the floor as there be seat customer .the food be ok , and thankfully the variety include european style sandwich , pastry , and cheese , which be good because the hot mexican and american dish be not always hot .on one day , most of the yoghurt cup have serve-by date print on they that predate the current date.overall i rate this hotel poorly because of the reservation ` bait-and-switch ' that nh shamelessly administer on its website ."
0,0,0,0,2,0,0,-1,"kid on a ritz bring you floaty this be the second time i stay at this property .first time have difficulty keep the fridge stock poor mattress and when i talk with management i be make to feel as though i be bother the manager .second time same experience bad service in room and still poor mattress .poor service at the front desk , native spanish speak customer clearly be give preferential treatment over the rest of the guest .as far as the pool be concern , it be beautiful , but try to get a chair after 8 be .i be at the gym at 6am and there be multiple people stake out the best seat for the day .the hot tub be completely out of control .my girlfiend and i referrr to it as the kid stew .usually one could find between 10 to 12 small unattended child in the tub .water temp be a balmy 98 degree or so perfect temp for whatever bug the kid leave behind.given the cost of a stay at this hotel , unless you be one of those people who like to waste you money , i would suggest you spend less money at any of the other hotel on the strip for a much better experience"
1,0,0,-1,0,-1,2,-1,"if you have other option , let this be 3rd to last resort !i visit new orlean and decide to stay at the avalon .1 -rrb- renovate ?- paint chip on the door , dirty hallway - probably 10 year old .hotel description lead one to think this a new establishment .2 -rrb- towel - use and very thin -lrb- rag-like -rrb- 3 -rrb- linen - hotel do not use bed mattress cover , simply a sheet to cover mattress4 -rrb- breakfast - bagel and powdered donut - juice serve in plastic -lrb- scratch -rrb- clear pitchers5 -rrb- restaurant on site - look in kitchen window while wait in line for breakfast -lrb- one of the kitchen worker -rrb- be dancing and eating in the kitchen6 -rrb- elevator - to push button to go to another floor may take 3 attemptsif you want a place just to sleep for a night , this be okay .if you want to enjoy the hotel premise and room/suite try another hotel .i try to be as general as possible and not degrade the establishment .recommendation : do not spend more than $ 50/night - ok at best ."
1,2,1,2,0,2,1,2,"good hotel , could have be better ... .apsis splendid bath 2"
1,2,2,1,1,2,2,0,"nice and reasonably price very much a wonderful place for the price of about 84 euros/night .the bed be small , and consist of a twin bed , or two twin shove together to make a larger bed .you may need to request a extra pillow or two .the bathroom shower be a bit strange , at least it be to this american -lrb- ! -rrb-, but the room and bathroom be clean daily with fresh towel provide .if you need a hair-dryer , bring you own , as the hotel-provided dryer look to be circa-1975 .if you have any problem with noise or smoke , do not book a room on the 4th floor !we room -lrb- 425 -rrb- be directly next to the hotel 's conference room , and at meeting break , attendee crowd the hallway , talk during they coffee and cigarette break .the cigarette smoke smell never really go away.other than that , everything be fabulous .tatiana at the front desk be most accomodating -lrb- she let we check in 6 hour early on we first day -rrb- , the free tea service and internet in the lobby be quite nice , and the buffet breakfast have a little something for everyone.jen14221@hotmail.comp.s .the mini-bar be no longer free ; everything cost 2 euro ."
0,0,2,2,2,1,0,0,"it be just ok ... first i鈥檒l start out with the good鈥 or we recent trip to san francisco , we really want a hotel with a good view and in a good location .this hotel have both .we pay extra to be on the club level -lrb- 27th 鈥 ?32nd floor -rrb- and we request , and receive , a corner room after read advice on this forum .the room have a good view of the city , but i be hope for more of a view of the golden gate bridge and the water .the room be spacious and clean , but the hotel be majorly in need of update before it can be consider a four star .the location be good 鈥?close to shopping and public transportation .we have a pizza and beer in the hotel sport bar one night .we waiter be great , but the pizza be just so-so .we be hope to watch a boxing match but the sport bar didn鈥檛 have hbo !we be go to have a drink in the lobby bar but it be freezing in there it be on the 2nd floor with a view of burger king so we decide to go down the street instead .now the bad鈥 he service be terrible .when we arrive , we want to check in and drop off we luggage 鈥?then return we rental car around the block .-lrb- we have drive down to big sur for 2 day and then drive to parc 55 for 2 night . -rrb-the bell man tell we that we luggage would be bring to we room in 5-10 minute so we could park there briefly and wouldn鈥檛 be charge .after get into we room , we wait 20 minute and we luggage still hadn鈥檛 arrive .we call the bell desk and ask for it .we have to describe we luggage to they , then they bring it 5 minute later .the person who bring it just throw it on we floor and leave .after all that , we be charge $ 10 for the short time we be park there .other hotel employee that we encounter just seem to have the attitude that they could care less about the guest or they job .in my opinion , everything about this hotel fall somewhere on the scale between 鈥渙k鈥?and 鈥渂ad鈥 ?i be disappointed and will stay elsewhere next time ."
0,0,0,0,1,0,0,1,"terrible , expensive , zero friendly staff , dont make the mistake !I and wife stay at the belvedere , for two night because we have a convention there , so there be no option in choose another hotel.as you can see in the hotel web page they charge about $ 600 , per night , so obviously you expect the maximum service , comfort and luxury for that price.we arrive at 12 be in a thursday/friday , we be receive , not welcome by two zero friendly employee one name julio , who tell we at main desk there be a problem with the reservation and they have no room , the only one it could give we be a room that this day have reparation for the wall !so it will smell a little bit rare .-lrb- this be strange because i be in a large conventioonas we get to the room at the 4th floor by the way , this room be small , a lousy tv , -lrb- not plasma or luxury , remember the price -rrb- and with a window very thin in a veri noisy street , ahh one little detail the garbage truck pass by 2am to night in a row , just below the window so imagine the sound at this time.by the time we be leave , we also be insult by doorman , which tell we , that he can not undertand my english.a terrible experience , for almost half the price i stay in another hotel from a big chain , in a better location , just check price , and hotel , but dont stay at this one ."
1,1,0,2,0,0,1,2,"small space much overrate , but a great location !very hip bar with view to pool , which be enclose in glass .room , like all manhattan room , be small , really small !!we feel claustrophobic in we room ."
0,0,0,2,0,1,0,-1,"security issue i book 2 night at this hotel because of how beautiful it look .think it would be the same on the inside but i be wrong .the room smell moldy and the bed be very uncomfortable .the location be nice but this place really need to boost security .we park we car in they garage think it be safe but to we surprise , we have some article steal .we try contact the owner .after many attempt , he reach we back and offer a one night stay here .one night stay at a hotel where we have something steal from we ?i dont think it would be very pleasant ."
2,2,0,2,2,2,1,0,"great location , fantastic view we arrive at this hotel for a 4 night stay at the end of a 6 week holiday .the room be by far the smallest we have ever stay in.the location and view make up for it and at 拢120 a night you wont beat it .the staff be helpful and friendly and the room although basic be clean .would stay here again for that view ."
2,1,2,2,2,2,2,1,"great location so i have a single night in new york before i head upstate for a conference and decide that time square be the place to be .unfortunately , stay in manhattan on the first saturday of december be always go to be expensive , but i do not realise how expensive it would be!the taxi driver manage to get lose -lrb- how be this possible for a taxi driver to get lose go between jfk and time square ? -rrb-, but eventually i spot the single door lead to the hotel 's lobby .or at least , i think it be the lobby .due to the nature of the location , the ground floor be just a entrance , and a elevator be require to get to the lobby .i be check in within 30 seconds and up to my king room .i have a great view of a scroll ticker out of my window -lrb- what else in time square -rrb- , but the curtain be thick enough to block out all light .the room be very pleasant with a comfortable bed , clean and crisp bedding and a large and powerful shower .internet access be charge at $ 17 per day which i thought be a bit expensive consider the price of the room , and it be also wire -lrb- ethernet cable be present in the room -rrb- .one thing that may help other , be that the network connection on the desk be part of a multiplug that also have connector for dvi and hdmus .i presume these lead to the large lcd tv so anyone travel with a laptop full of movie could theoretically play they on the tv , or fine tune any business presentation on a big screen - quite a plus .unfortunately , have a macmini mean i have leave my $ 30 adapter back at home and could neither test nor use this facility.the location be excellent and i go for a walk in the evening to take a look around .the large christmas tree in the rockefeller plaza be about 10 minute away , as be 5th avenue .10 minute walk south get I to the huge macy 's -lrb- where i get lose -rrb- and also to the empire state building .even though i be on the 7th floor , the hotel be suitably soundproofed and no noise from time square enter my room.the staff be most helpful in every way and be happy to mind you luggage upon check we -lrb- which be 12:00 by the way -rrb- should you want to look around the city before you head off to another destination .in addition , the staff downstairs can provide advice for location , dining and the best way to get to another location .in my case , they recommend against get a cab upstate and call they own driver who take my to my next destination .friendly and very efficient service!all in all , a very pleasant experience and i would recommend this hotel to anyone if the room be a little less expensive -lrb- which i believe they be give a different date -rrb- .it have be recently modernise and will not be to everyone 's taste , but as a very pleasant room in the centre of manhattan , it be fine .i would have rate it as excellent apart from the cost ."
1,0,0,2,1,1,2,0,"negative outweigh the positive my wife and i stay at the stanford court with two other couple for three night prior to a week 's visit to the wine country in northern california .on balance , although the hotel do have some positive feature , we collective opinion be that the negative outweigh the positives.on the positive side : great location on nob hill just a half block from the intersection of three cable car line .the staff be friendly , professional and helpful .the public area and fournou 's oven -lrb- the restaurant -rrb- be attractive and comfortable.the guest room be quiet during we stay , although the hotel appear to be full .but the negative : all three of we room be tiny with no view whatsoever .my wife and i be use marriott reward point for we stay , but the other two couple be pay regular non-discounted rate , yet all three of we comment on these be perhaps the smallest hotel room we have stay in in many years.the entrance to the hotel be not on the street , but set back in a attractive courtyard .traffic be frequently congest in the courtyard and there be sometimes long wait for taxi although there be numerous free taxi pass by on the street outside of the courtyard.tv reception be barely adequate on old tv set in we room .there be no free internet connectivity , although there be a option to purchase a high speed -lrb- not really -rrb- connection through the ibahn system in the room for $ 9.95 per day .like all marriott property , this be a totally non-smoking facility .one may view this as either a plus or a minus , but smoker be relegate to a dark corner of the courtyard where a few ashtray and seat be provided.on balance , especially because of the tiny room , we would not stay here again on we future visit to the san francisco area ."
2,2,2,2,2,2,2,0,"good location we choose this hotel as it be in the rock area of the city 鈥?where there be quite a few restaurant and bar .it be a attractive hotel which be well-maintained and very clean.our first room -lrb- on a lower floor -rrb- be adequate , if a bit gloomy as there wasn鈥檛 much natural light due to surround building .we move to the top floor , which be excellent .it be large , with a separate bedroom and lounge area , and the view be great 鈥?with the opera house right in front of you , and the harbour bridge to you left .in fact , it be so nice that we spend most of one sunny day on the terrace , find it hard to tear ourselves away.the hotel be distinctively and attractively furnish , though it must be say it do look a tiny bit wear here and there in public area .they鈥檝e squeeze in a pool , which be close for maintenance when we be there.staff member be friendly and efficient .although it鈥檚 in a busy area , the hotel itself be peaceful and quiet .it seem to be a hotel popular with couple , as we see no child there.one small irritation be the policy on wi-fus .you have to pay a $ 13 + per 2 hour .this may be fine if you don鈥檛 need to be online several time a day , otherwise this can add up to a lot during you stay .frankly , it be a skinflint policy and a big black mark against the hotel .we have receive complimentary wi-fus in some other hotel before arrive here .surely , complimentary wi-fus will be the norm soon .if you aren鈥檛 inclined to pay it go to the custom house by the nearby train station log on free on the second floor of the public library .in summary , the rendezvous be a well-located , good quality hotel with a fantastic view from the top floor .pay the extra 鈥?it鈥檚 worth it 鈥?but take a short walk rather than pay they silly wi-fi price ."
2,2,2,2,2,0,0,2,"great stay stay one night in new orlean at this hotel .i would give the hotel 5 star , but the front desk staff be less than competent and less than friendly .i have hear that since katrina the service industry have have problem find and keep good people and it show .i have problem on this trip with waitstaff and hotel staff .at the cis my card key would not work and it take I trudge back to the desk all the way from my room three time and start to get very angry before they get it right .anyway , a exception be the bartender john ; a great guy , full of tip and advice and pour a mean tequila .i will stay there again just to drink at he bar .the room be small but clean , the location be great .the price be more than reasonable at $ 75 per night , but be kind of misleading , as you will pay another $ 25 per night to park .i will stay there again due to the location , price and great barstaff ."
2,2,2,2,2,0,0,-1,"great hotel , great location , disappointing service for the price and location , the sir franci drake be probably the best value i have have at a hotel .it be step from the powell street bart station , the cable car and bus route .it be also right at union square and surround by great shop and restaurant .the room be small , but keep in mind it be a major metropolitan city , and the room be usually small to accommodate all the people stay .while small , they be not uncomfortable in any way and be keep very clean .the only downfall we experience be small inconvenience from poor service .hotel that master the art of the little thing be always the best .this hotel be still work on master the little thing .for instance , we have three people in the room and be there for 5 night .on only one occasion be there three set of towel .we have to call every time and they would bring giant stack of towel .unnecessary .they would also take the drinking glass and not replace they .and we also receive a bit of condescension when we leave we board pass information they promise to book as the flight open to get the a pass .we call 20 minute to remind and it have not be do and we end up get stick in a different board group .while some of the service issue be frustrating , it all come out in the wash with a charming hotel with great period detail and a perfect location and reasonable price ."
0,1,2,1,2,0,1,0,"hotel be okay but there be hassle ..the hotel be nice , new and very modern .i be impress with the interior and the look of the hotel .unfortunately , i find that the front desk staff be a little snobbish and not warm -lrb- compare to the other hotel -rrb- the just look at we and wait for we to bring ourselves to the desk for assisstance .the door man/bell person do not even smile - at all !!re : the luggage - i have to ask they how it will be bring up !they do not even ask we which lugage be ours !tsk ..tsk ..i hate the fact that we room key be not work !we have to go to the front desk every day at least 3x a day to have the key validated/updated/scanned .there be one time on of the staff do not believe that the key be not working!one thing i like be the staff at the 1/f restaurant during breakfast - they be so friendly and helpful !!they be very attentive and so willing to help !!the location be alright .could be better .but alright i guess .there be nearby shop -lrb- that be bridal shop ! -rrb-traffic on the road where this hotel sit be quite heavy ."
1,2,1,2,1,1,0,0,"beautiful resort , just unfriendly stay four night with 12 other woman for a girl getaway .the resort itself be beautiful and in great shape with beautiful garden , and good room .even have cherry wood , extra large door .cool !it be big so there be lot of walk .i actually lose weight on this one .however , and it be a big however , the entire staff we come into contact with be unfriendly .the housekeeper , check-in , tour package guy , the bartender , the dj at the disco , the towel boy , massage therapist , etc. not once be we ever impress by the personaility .no one really seem to be interested in help you or make you stay better .it be typical to wait 15 minute for a drink at the main bar in the evening .and most staff -lrb- and taxi driver -rrb- do not speak english .maybe they have not notice yet that tourist can be a boost to they economy .??the armed guard at the gate entrance probably should have tip we off to they economy in the first place .we meet a wedding party at the airport and they agree that the friendliness in they resort be bad as well .so maybe it be not just the resort , but the entire area .the food be ok , not the best ... not the worst .adult entertainment in the evening be definitely lack , especially at the disco , which do nothing to attract people to the dance floor .they just play latin reggae mostly the entire night .would i go back to punta cana ... .probably not .but if i do , i believe the ocean blue give as good as service as you would expect anywhere in the dr."
0,0,1,2,1,1,0,-1,"poor service at the london the room be large and that gym have good machine .those be the high point .every service be subcontract out , include the concierge .we only eat breakfast at the restauant , which be comp to make up for the dismal service provide by the concierge .i request a fun night out for my 50th birthday with a great restaurant and some fun entertainment afterwards .the concierge send we to a restaurant that provide what i would consider one of the most overpriced and disgusting meal that i have ever eat .they imaginative suggestion for entertainment be a comedy club afterward .they be unfamiliar with any of the comic or routine .i could have get better advice from any cabbie .the room be large but the furniture be stark and cold and uncomfortable .not a drawer in the room except for the desk and night stand by the bedside .i would give this place one or two star on a good day ."
2,2,2,2,2,2,2,0,"cool and classy yet cheap !a friend and i stay at the hotel laura about a month ago for a several-day visit to madrid .we experience there be wonderful .first of all , we be warmly greet upon check-in and upgrade to the duplex level room at no extra cost .the room be huge consider what we pay ; substantially bigger than we new york apartment .i believe the same type of room have be describe before : live area on first floor , complete with bathroom , walk-in kitchenette , large couch , breakfast table , balcony with street view , flat screen wall mount tv , and closet ; and bedroom , desk area , and more closet space upstairs .yes , perhaps the staircase be a little tough to master , but the room have a great setup and you can not beat the amount of space .the furnishings be not at all opulent , but they be trendily attractive -lrb- think ikea -rrb- and the space be very please to the eye consider its cost.the free breakfast be really fantastic -- most free hotel breakfast -lrb- at least in the state -rrb- consist of bad coffee , instant oatmeal , bagel , and some sorry look fruit .this breakfast include cure meat , cheese , a spanish omelette , a wide range of juice , bread , and much more .two very small gripe : first of all , the hotel advertise a free wi-fus connection , and maybe it be the fault of my computer , but we could not connect -lrb- and the man at the desk at the time be of very little help -rrb- .second of all , the room could have have a couple more basics in the kitchen -- we want to have a bottle of wine and some snack before head out but there be no wine glass , corkscrew , silverware , or plate .however , consider the amount we be pay it be okay to let that go.overall , it be a wonderful budget/boutique hotel in a great location , the perfect place for young traveler look for a cool , affordable , place to stay !"
0,0,0,0,0,2,0,-1,"never again the person at the front desk be very friendly .the room smell !when i open the closet to iron we clothes , it smell even worse !i would not stay at this inn again .nor would i recommend it to anyone ."
1,0,0,-1,0,-1,2,-1,"o.k. , for downtown stay at the princess from march 4 to march 13 .the hotel be in a great location in term of access to the beach and shopping .if you be expect a typical sheraton , you will be extremely disappointed .the outside of the hotel , lobby , bar , and restaurant all look fabulous and the staff be very warm and welcome .shock be the room .very poorly maintain .bedspread be thin , decor be horrible , refrigerator barely work , and the room be quite small .if the wind be blow you will be up all night as the wind shake we balcony door so hard that it just continually rattled.didn ' t feel as cheated the first 7 night of the stay because i have a conference rate of $ 105/night , but it really hurt to pay $ 150 for the next two night in the same room ... i have no problem with parking and i think that $ 10/day be reasonable .however , traffic in waikiki be horrible so think twice about rent a car if you plan to just hang around downtown.food be o.k. , but very pricey .dinner buffet at the hotel be 32.50 / person and the breakfast buffet be 16.50 / person .both be good , but not worth the price.according to one of the assistant manager , the hotel be schedule for a upgrade this summer , so if i ever go back , i might stay just to check out the difference .you best bet be the hilton hawaiian village -lrb- little further uptown -rrb- or the sheraton moana surfrider which be right across the street.also , be prepare for the japanese invasion .i find that the staff seem to cater to they more than american .most of the japanese folk that i encounter be friendly , but a lot be obnoxious about cut in front of you when stand in line and they seem to have a real sense of entitlement -- that do not apply to anyone else ..."
0,0,0,2,1,0,0,1,"could have be better we have a room on the fourth floor with a balcony with a view of the ocean .it be beautiful .the weather be cool all week which be unusual for mid april .the room be quite cold at night .there be no way to heat the room .it take several call to get additional blanket .we room be big enough and nicely furnish .we room have a spa type bath tube .unfortunately the drain be plug up and we could not use it.since we be on vacation we look forward to sleep in .each day housekeeping staff would gather outside we door early in the am and talk quite loudly , some on walkie talkies.we do not find staff to be helpful or friendly .the room at this hotel be far from cheap .one of the selling point of the hotel be that it be on the beach.one would think that the beach area would be in better shape .the section of the beach allocate to newport guest be filthy with trash and cigarette butt everywhere .we be approach by carlo while lounge on the beach who demand to know if we be guest of the hotel .staff seem very concerned about who use they chair but not how filthy the surroundings be .it be difficult to find a place to sun bathe without inhale someone 's cigarette smoke .a better hotel would find a solution to this.for the amount of money we expect a much better experience ."
2,1,2,2,2,0,1,2,"convenient for traveler this hotel be for those who be travel in and out of dfw , i could not imagine stay here otherwise .i would not consider this a luxury hotel ; it be a lovely respite from the burden of travel .the hotel and room be attractive , modern , clean and quiet .the bed and linen be comfortable , towel fairly thick .the shower head be oddly point at the door , so please do not make the mistake of turn on the water without either move the shower head or get in first .also , the size of the shower make shave a acrobatic act .the picture on the website and tripadvisor be accurate and speak fairly for themselves .the staff can be cool .floor 4 be 1/2 smoking and 1/2 non-smoking , therefore , i recommend non-smoker avoid .also , watch the rate on the hyatt website ; the rate can fluctuate quite a bit and if you secure a lower rate be sure to request a email confirmation as the hotel do not appear to get the revise rate .upon each visit i have to show my blackberry to convince the hotel staff that i do indeed negotiate a lower rate .more work for the travel weary .again , a lovely hotel if you find yourself at dfw ."
0,1,2,-1,2,-1,0,-1,"do not buy ticket the stand in the lobby selling ticket to show , attraction and baseball game be not run by the hotel .we purchase three ticket to a new york yankee baseball game from the ticket seller and he inform we that the seat we four row up between home and first .well , the seat be between home and first base , but they be four row up from a metal bar located approximately 35 row back .we be also inform that a small commission be charge in addition to the cost of the ticket .we pay $ 100 .each for the ticket and later look at the ticket and they only cost $ 50 .each .we have contact the manager regard this , but so far nothing have happen .we later find out that some of the westin staff do not recommend this service .they have have numerous complaint from guest , buy keep let guest get rip off by the vendor they use for this service .i would not recommend this hotel !"
2,2,1,-1,2,-1,2,-1,"exactly what i expect ... and that be not a bad thing .i book a deluxe room which mean i have my own bathroom .i speak with a few traveler that book on expedia and they do not know that they would be share a floor bathroom .i book through the hotel with the bay cruise package which mean a cheaper rate on the deluxe room and 2 free red and white cruise ticket .the staff be very helpful in make sure the ticket be wait for I at the cruise office .my room be clean and tastefully decorate .it be small , but actually bigger than i expect .i read review on here before i leave and i have also stay in a boutique hotel in the same disctrict and it have small room as well .i find the mosser to be a excellent deal for the part of town you be stay in and the amount you be pay for it.the elevator be horrible .it smell and it be terribly slow .my only true complaint directly concern the hotel .i do not have any trouble with interior hotel noise .it be the street noise that keep I up all night .i guess you can not really blame that on the hotel .this hotel be great as long as you know what to expect .do you research !"
1,1,1,2,1,2,2,2,"not all that it be crack up to be we have just come back from two week at the riu palace macao , punta cana .check in be good and the reception staff be great .room be ok , large enough but smell foisty.the pool be clean every morning but still appear dirty .the beach be beautiful and if you get a sunb under the palm tree , with the breeze off the sea , it feel like paradise .the meal be average , the caribe restaurant seem a fantastic way to watch the sunset and enjoy but the food be not good at all , so try and stick to the buffet , then go and watch the sunset on the beach .the staff at the hotel be superb and always seem to want to please .the entertainment be poor and i take a fourteen year old girl and there be nothing for she to do , so not good for that age group .the main thing that concern I be , i get a upset stomach after a few day , and i have never have any problem , and when we get talk to other people they have too .in the end we put it down to the lack of hygiene with the glass at the bar , as we all do not think it be the food .all in all , the holiday be ok , and definately the best out of the rui chain along that beach , but how they get a five star rating then i will never know ?"
1,-1,0,2,0,2,2,1,"very good , but not four star great .stay here for five day start august 19th .love the friendly staff , great breakfast and location .the free minus bar be ok but do not really offset the musty room that stink of cigarette smoke , the dirty chair in the lobby , and the not quite sparkling clean bathroom.although the bank claim four star status , this be a three star hotel at best ."
2,2,2,-1,2,-1,0,-1,"satisfy with this hotel i can say that my overall experience at this hotel be above average .the room be always very clean and the staff be very polite .the business center be free for hotel guest and open 24 h , which be very convenient since i need to print several document and use the internet for urgent matter .there be also a complimentary shuttle service every 30 minute -lrb- although it only go to downtown dalla ... if you need to go to the airport , you have to take a cab -rrb- .the only negative aspect be that some of the staff member be not competent enough .for instance , when ask for information about the city or tour , the lady at the front desk have to check the internet in she computer !it seem she do not find much in there , so she suggest I to search in the pamphlet shelf by myself.another example : one night i go to the business center and the browser be request a password to get connect .i call a woman at the front desk to help I ; then she come to check the computer however do not know the password , or the way to get it .i ask she to call someone , but she say that it be too late to call for it service ."
0,0,0,-1,1,-1,1,-1,"tiny , but cheap this be a economical property with clean , but tiny room .the room be very cramped for my wife and i. it remind we of a stereotypical motel 6 type of property with low end room and small bed .if one only wish to sleep and not really view anything from the window , the window could not be open except for about 2 inch , it might work for you .however , my wife and i will not be stay here again since there be many other economical property with nicer , more open room , even within the ohana chain .the one item we do really like about this hotel be the tgi firday 's located at its base ."
0,0,0,1,1,1,-1,-1,"nice room , check out early .view of the golden gate from the room"
2,2,0,2,2,2,2,2,"great staff , great location , great price !we have a great stay !we stay at the aqua ocean tower hotel in waikiki last week and have a pleasant stay .the aqua ocean be a older hotel located behind the resortquest hotel right across the street from the beach .i arrive on thursday evening to find -lrb- surprise ! -rrb-that major renovation work be be do on the lobby and many of the guest suite .we have not be contact ahead of time by the resort regard the renovation project and this be not a big deal for I but i do know some traveler who would have be put off by this .we head up to the temporary front desk quarter locate on the 2nd floor and be warmly greet by lenore wong and she staff .we be really treat like family by the staff who be very accommodate and really want we to feel at home .about the hotel .the aqua be a older 9 story hotel located in a great downtown waikikus area , just a few step to the beach and surround by great shopping , dining and convenience store .the aqua do not have a pool or restaurant but close proximity to the beach and a great restaurant next door be satisfactory for most guest .we room be one of the older room which be slate to be refurbish .it have twin bed , a noisy ac unit which keep we from achieve rem sleep , a mini-frig and a good size bathroom with a tub and shower .ocean view and a tv with cable .continental breakfast with great pastry , fresh fruit , and coffee , tea , juice .the best part about the room be the price , 99.00 / night with a free night stay if you book for 5 night .the newly refurbish room be very nice with a big lcd tv and pc with internet access , nice king bed and nice furniture .i do not ' know what the price on the newly refurbish room will be but they may be around 150.00 or so a night ; this may be ok but not a smokin ' deal due to the lack of onsight amenity .but then you would not be get the superior service from lenore and she staff so that be something to factor in also.would we stay there again ?surely , especially if they manage to keep the room at the great price we be attract to in the first place and if they continue to offer internet special .the bad ... the renovation project be ongoing and while the place be in desperate need of a facelift , it be a inconvenience for traveler to have to share the place with contractors/workers who be try to get the job do .we come back to we room one morning and the door be crack open and the housestaff be vacuum the hallway with a extension cord plug into we bathroom .not a great thought when we have we pc and digital slr lie about the place -lrb- we fault but we be on vacation -rrb- .the good ... staff , location and lenore .what else can we say !thanks for a great week and mahalo !"
0,0,0,1,0,1,1,1,"problem all over electric switch in room you need a phd in electical engineering to figure out how to use.plumbing in room generally break down.central heating control in room do not work.breakfast very minimalist , not to international standard .no egg , cook breakfast , choice limit .coffee serve from jug one might use on a camping holiday.bar be close when we return at 6pm on sunday evening .not what you would expect from a 4-star hotel .what do 4-star really mean anyway ?"
1,1,2,2,2,0,0,0,westin rio mar golf villa .golf villa at westin rio mar
0,0,0,0,0,2,-1,0,"shabbiest motel in america do not be mislead by the room picture on the hotel website !i be and it be bitterly disappointing to have to check into this shabby motel after a long and tiring transcontinental journey .the picture on the hotel website show flat screen television and fresh , new sheraton furnishings .the actual room be nothing like that !they be dark green and ugly with unsually low ceiling .everything from the carpet to the furniture to the bathroom towel be fade , wear and / or stain .yuck !i could not even bring myself to use they towel .also strange , be the lilliputian scale of the furniture -- to save cost or to match the scale present by the low ceilings?when i ask the front desk staff to explain the discrepancy between webiste picture and reality , they say the picture show how the hotel room will look after a plan renovation .when i ask when the renovation would be complete , the front staff sheepishly admit that even the date to begin renovation have not yet be decided.the hotel have just two slow elevator and they be simply not enough to handle the number of room at this reltively large hotel .you patience will be severely test at peak hours.finally , to add ultimate insult to injury , this hotel charge a whopping $ 13 for overnight parking , which be free at all the other nearby hotel .this despite the fact that this hotel be the most remote of all of they ."
0,0,2,-1,2,-1,0,-1,"fabulous hotel , bad service .stand up shower"
1,1,2,2,2,1,1,2,"location , location !small room , very limited storage space .no place to put you suitcase and leave it so you can open it .reception staff be adequate but not overly welcome , but they do they job .great roof deck and view , but i would imagine the tiny pool be pack .great location , easy walk to everything central in bcn .as long as they do not get carry away with price , good place to stay if you do not mind the tiny room .breakfast pricing be outrageous , so walk across the street in the morning for a coffee and croissant which be about a 10th of what hotel breakfast would cost you ."
0,2,2,0,0,0,0,-1,"get hat you pay for we get a great deal from sell off vacation for this resort in april ... only 397.00 plus tax .they tell we it be a 4 star very beautiful resort .13 of we go it be a good trip but many issue .we be tell we all be in the one building and none on ground floor ..that do not happen .we never see hotel spray for bug at all and fly be terrible in the room and at the buffet they be all over the food .service not great , barely speak english the pool be great food ok but only allow to eat at the a la cartes 3 time .i have be to the coral marien and the resort and food and service be way better however pay 1500.00 to go there .beach in punta cana be beautiful though pretty rough when we be there .if you pay less then 700.00 to go there otherwise choose somewhere else ."
